Title                                    , Released year, Duration, Genre          , Language       , Description
Baahubali - The Beginning                ,          2015, 2h 32m  , Action         , Action         , "Darkness befalls the Mahishmati kingdom after the assassination of beloved King Amarendra Baahubali. However, a deadly battle must be fought to restore justice."
Begum Jaan                               ,          2017, 1h 39m  , Action         , Action         , "A brothel stands in the way of the partition line. While the authorities try all means to oust the prostitutes, they stand their ground."
Bang Bang                                ,          2014, 2h 26m  , Action         , Action         , "Rajveer sets out to steal the world's most coveted diamond, the Kohinoor, triggering a series of fights, car chases and a revenge plot."
Dombivli Return                          ,          2019, 1h 54m  , Thriller       , Hindi          , An honest man from a humble background stumbles upon a photograph that can either be an opportunity of a lifetime or be the end of him. What will he choose?
Tumi Ashbe Bole                          ,          2021, 1h 40m  , Romance        , Romance        , "Much in love, Nanda and Aankhi are all set to marry each other. However, when Nanda fails to show up at the altar, Aankhi sets out in search of him."
Rocky                                    ,          2019, 1h 56m  , Action         , Action         , Rocky is a common young man whose life turns 360 degrees and makes him a deliverer of vengeance.
Baadshaho                                ,          2017, 2h 9m   , Drama          , Drama          , "An Indian queen seeks her bodyguard's help to seize the gold, which the government had raided from her palace during the Emergency in 1975."
Baahubali 2: The Conclusion              ,          2017, 2h 40m  , Action         , Action         , Why did Kattappa kill Amarendra Baahubali? Find out the answer to this monumental question as you watch Amarendra's son in action in the sequel.
VIP 2 Lalkar                             ,          2017, 1h 46m  , Drama          , Drama          , "Civil engineer Raghuvaran is offered a job by Vasundhara, an egoistic businesswoman. When he turns down her offer, she vows to make his life miserable."
Prem Ratan Dhan Payo                     ,          2015, 2h 28m  , Romance        , Romance        , "Crown Prince Yuvraj Vijay Singh and his doppelganger, a carefree stage actor, Prem Dilwale's lives get entangled in a royal battle of romance and deceit."
Taqdeer                                  ,          2017, 2h      , Action         , Action         , Avinash gets separated from his childhood love Priya. Will fate play its part and bring the two estranged lovers together as grown-ups?
Dumdaar Khiladi                          ,          2018, 2h 13m  , Romance        , Romance        , "It's hate at first sight for Sanju and Anu. But, as time passes, they develop a strong friendship, which is tested when they choose different life partners."
Geetha Govindam                          ,          2018, 2h 20m  , Romance        , Romance        , Don't believe in love at first sight? Vijay and Geetha's hilarious love story will reinstate your faith in romance.
Ezra                                     ,          2017, 2h 16m  , Horror         , Horror         , "Priya has recently moved to Kochi along with her husband and brings along an antique Jewish trunk, unaware that it contains a dybbuk, a revenge-hungry spirit."
Drishyam                                 ,          2015, 2h 36m  , Thriller       , Thriller       , Story of a common family man who takes desperate measures to save his wife and two daughters when they unwittingly get entangled into a crime.
DJ                                       ,          2017, 2h 12m  , Action         , Action         , "DJ is an undercover officer fighting crime in the guise of a priest. Things take a turn when he falls in love with Pooja, the daughter of a corrupt minister."
Bheemla Nayak                            ,          2022, 2h 23m  , Action         , Action         , "An upright cop goes toe to toe with an ex-havildar over a petty case. As the quarrel between these egoistic men gets intense, how far will they go to win?"
Sanam Re                                 ,          2016, 1h 53m  , Romance        , Romance        , "An unfortunate event separates a much-in-love couple. However, fate gives them a second chance at happiness. Will luck favour them now?"
D-16                                     ,          2016, 1h 29m  , Crime          , Crime          , "Retired inspector Deepak loses his leg during an investigation. Years later, he has to relive the dreaded past."
