title,released_year,duration,genre,description
Khatron Se Khelenge                      ,2014,2h 8m   ,Thriller       ,A conman has the impossible task of stealing treasure from a royal household. Now he must hatch a plan for a perfect heist.
Action Jackson                           ,2014,2h 17m  ,Action         ,"A small-time crook Vishi has just about managed to prove his worth to his beloved, when his professional assassin body double bursts onto the scene."
Kick                                     ,2014,2h 20m  ,Action         ,"Devi Lal Singh aka Devil, a thief, finds life dull without a kick! And he gets a kick when a psychiatrist and a police officer cross paths with him."
Jigarthanda                              ,2014,2h 41m  ,Action         ,"To impress an art film director who critiqued his earlier attempts, Karthik decides to shoot a film on the life of a demented gangster, Assault Sethu."
Magadheera                               ,2014,2h 32m  ,Action         ,"Satya and Deepthi are mercilessly attacked and left for dead. Unfortunately for their assailants, he re-emerges with a relentless need for vengeance."
Hate Story 2                             ,2014,2h 2m   ,Thriller       ,"Hell hath no fury like a woman wronged! After witnessing her lover die, Sonika goes on a killing spree to avenge him."
Maan Karate                              ,2014,2h 23m  ,Comedy         ,A seer meets a few IT employees and predicts that their company will shut down. The seer then shows them proof and sets the friends on a shocking adventure.
Madras                                   ,2014,2h 22m  ,Action         ,Kaali and his politically charged friend Anbu get into a heated debate over walls on which to put up party posters. How far will they go to prove their point?
Rowdy                                    ,2014,1h 48m  ,Action         ,"Anna, a mafia don and benefactor of the poor, loves his son. However, the father-son relationship hits rock bottom thanks to the latter's girlfriend."
Bhoothnath Returns                       ,2014,2h 26m  ,Comedy         ,"Bhoothnath revisits earth, and his after-life changes for good when he meets a brave boy, Akhrot. They team up to fight against Bhau, a corrupt politician."
Heropanti                                ,2014,2h 15m  ,Action         ,"To trace down his runaway daughter and her lover, Chaudhary kidnaps their friend Bablu. Chaos ensues when Bablu falls for Chaudhary’s younger daughter, Dimpy"
Dynamite                                 ,2015,1h 56m  ,Action         ,"When Shiva's date gets kidnapped, the police refuse to help him. Setting out to find her on his own, Shiva stumbles upon a deadly conspiracy."
