title,released_year,duration,genre,description,Rated,Released,Runtime,Director,Writer,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,Type,BoxOffice,totalSeasons,imageid,format
Nimir,2018,2h 3m,Drama,"When publicly embarrassed, photographer Selvam vows to not wear slippers until he has avenged the humiliation, thereby triggering a chain of hilarious events.",,26 Jan 2018,130 min,Priyadarshan,"Priyadarshan, Syam Pushkaran, Samuthirakani","M.S. Bhaskar, Nadiya Kalhara, J. Mahendran","A Tamil remake of the Malayalam comedy drama, ""Maheshinte Prathikaram"". It stars Udhayanidhi Stalin in the lead role, playing a photographer named Selvam who owns a studio in a small town. Selvam's life changes when a situation brought him embarrassment and he swears to not wear his slippers since then.",Tamil,India,1 nomination,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.3/10""}]",6.3,425,tt7509020,movie,,,323,
Piya Re,2018,2h 13m,Romance,"Rabi falls in love with Riya, who lives in a slum. Initially reluctant, soon she unites with him only to mysteriously disappear one fine day.",,,139 min,Abhimanyu Mukherjee,,"Soham Chakraborty, Srabanti Chatterjee, Suvajit Das","Presenting a heart-warming story of love- Piya Re. Film : Piya Re. Director : Abhimanyu Mukherjee. Starring : Soham Chakraborty, Srabanti Chatterjee, Kanchan Mullick, Somraj Maity, Supriyo Dutta, Buddhadeb Bhattacharya, Subhadra, Dola and others.",Bengali,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""4.4/10""}]",4.4,63,tt8665780,movie,,,324,
Piya Re,2018,2h 13m,Drama,"Rabi falls in love with Riya, who lives in a slum. Initially reluctant, soon she unites with him only to mysteriously disappear one fine day.",,,139 min,Abhimanyu Mukherjee,,"Soham Chakraborty, Srabanti Chatterjee, Suvajit Das","Presenting a heart-warming story of love- Piya Re. Film : Piya Re. Director : Abhimanyu Mukherjee. Starring : Soham Chakraborty, Srabanti Chatterjee, Kanchan Mullick, Somraj Maity, Supriyo Dutta, Buddhadeb Bhattacharya, Subhadra, Dola and others.",Bengali,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""4.4/10""}]",4.4,63,tt8665780,movie,,,324,
Mera Faisla,2018,1h 46m,Comedy,Highly educated yet laid-back Sanju meets Swathi and falls in love with her. A twist in the tale comes when he discovers her father's mafia identity.,,,,,,,,,,,,,,,,,,325,
Dumdaar Khiladi,2018,2h 13m,Romance,"It's hate at first sight for Sanju and Anu. But, as time passes, they develop a strong friendship, which is tested when they choose different life partners.",,,,,,,,,,,,,,,,,,326,
Ek Zabardast Fight Plan,2018,1h 45m,Action,"Sakthi and Asha use their intelligence to create new electronic devices. When HRD Minister Devaraj dupes them, Sakthi and Asha concoct a plan to expose him.",,,,,,,,,,,,,,,,,,327,
Girlfriend,2018,2h 3m,Romance,"Good-for-nothing Uttam falls in love with scholar Suchitra. However, to win her, he must prove his worth to Suchitra's father.",,02 Nov 2018,128 min,Raja Chanda,N.K. Salil,"Biswajit Chakraborty, Pradip Dhar, Koushani Mukherjee","Bonny Senguptais a careless youth who spends his life without any goal. One fine day, he falls in love with a girl named Koushani Mukherjee and her father has some conditions for him to marry her daughter.",Bengali,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""4.5/10""}]",4.5,79,tt9248858,movie,,,328,
Girlfriend,2018,2h 3m,Comedy,"Good-for-nothing Uttam falls in love with scholar Suchitra. However, to win her, he must prove his worth to Suchitra's father.",,02 Nov 2018,128 min,Raja Chanda,N.K. Salil,"Biswajit Chakraborty, Pradip Dhar, Koushani Mukherjee","Bonny Senguptais a careless youth who spends his life without any goal. One fine day, he falls in love with a girl named Koushani Mukherjee and her father has some conditions for him to marry her daughter.",Bengali,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""4.5/10""}]",4.5,79,tt9248858,movie,,,328,
Ragasiyam,2018,1h 51m,Thriller,Six different people struggle with problems of their own. The only thing they have in common is a mass murderer who decides to end their lives.,,,,,,,,,,,,,,,,,,329,
Nishyabda 2,2018,1h 42m,Thriller,"Three robbers try to dupe a visually impaired veteran, unaware of the horrors that await them.",,,,,,,,,,,,,,,,,,330,
Koode,2018,2h 26m,Drama,"After years of being away in Dubai, Joshua returns for his sister's funeral. But it gets weird when he starts seeing his beloved sister's spirit.",,14 Jul 2018,155 min,Anjali Menon,"Sachin Kundalkar, Anjali Menon","Prithviraj Sukumaran, Parvathy Thiruvothu, Roshan Mathew","Joshua who spent almost two decades outside the country to earn money for his sister, Jenny's treatment, return for her funeral. Soon, Joshua encounters Jenny's soul who guides him to reclaim his life, spreading happiness and warmth to everyone around them.",Malayalam,India,4 wins & 7 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}]",7.6,"2,872",tt7523010,movie,,,331,jpg
Koode,2018,2h 26m,Fantasy,"After years of being away in Dubai, Joshua returns for his sister's funeral. But it gets weird when he starts seeing his beloved sister's spirit.",,14 Jul 2018,155 min,Anjali Menon,"Sachin Kundalkar, Anjali Menon","Prithviraj Sukumaran, Parvathy Thiruvothu, Roshan Mathew","Joshua who spent almost two decades outside the country to earn money for his sister, Jenny's treatment, return for her funeral. Soon, Joshua encounters Jenny's soul who guides him to reclaim his life, spreading happiness and warmth to everyone around them.",Malayalam,India,4 wins & 7 nominations,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.6/10""}]",7.6,"2,872",tt7523010,movie,,,331,jpg
Helicopter Eela,2018,2h 2m,Drama,"An aspiring singer and a single mother, Eela gives up her dream for her son. Years later, this overprotective mom rejoins college with her son.",,12 Oct 2018,135 min,Pradeep Sarkar,"Mitesh Shah, Anand Gandhi","Kajol, Riddhi Sen, Tota Roy Chowdhury","Eela is an aspiring playback singer and single mother. She has given up all her dreams to raise her only son. But now her baby son 'Vivan' is all grown up and being a typical young millennial, doesn't want his mother's life to revolve around him. But being an over protective mother, Eela has other ideas and joins her son's college to spend more time with him. Unfortunately her plans backfire and she suffers a backlash from Vivan for invading his privacy. Will Helicopter Eela manage to salvage her relationship with Vivan and find her calling again?",Hindi,India,,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.5/10""}, {""Source"": ""Rotten Tomatoes"", ""Value"": ""27%""}]",5.5,"1,301",tt8427036,movie,₹60 Lakh,,332,jpg
